question,option1,option2,option3,option4,option5,answer,explanation,domain
"企業はVPC内にデプロイされたAmazon EC2インスタンスからAmazon S3バケットへアクセスしています。セキュリティ要件により、このS3バケットへのアクセスは、特定のVPCエンドポイントを経由した通信のみに制限する必要があります。これを実現する最適なアプローチはどれですか？","S3バケットポリシーで、「aws:sourceVpce」条件キーを使用して特定のVPCエンドポイントIDからのアクセスのみを許可する。","S3バケットのブロックパブリックアクセス設定を有効にし、VPCのIPアドレス範囲を許可する。","VPCエンドポイントポリシーで、特定のIAMロールからのアクセスのみを許可する。","EC2インスタンスのセキュリティグループで、S3のプレフィックスリストへのアウトバウンドを拒否する。",,"1","S3バケットポリシーで「aws:sourceVpce」を使用することで、指定したVPCエンドポイントを経由しないS3へのアクセス（インターネット経由など）を完全にブロックできます。",1
"グローバルなWebアプリケーションが、特定の国（例: A国とB国）からの悪意のあるボットアクセスに悩まされています。これらの国からのすべてのWebトラフィックをアプリケーションの入り口でブロックする最も簡単な方法はどれですか？","Application Load Balancer (ALB) のリスナールールで、送信元IPアドレスに基づいてトラフィックをドロップする。","Amazon CloudFrontディストリビューションで地理的制限（ジオリストリクション）を設定する。","Amazon Route 53の地理的ルーティングを使用して、対象国からのリクエストをブラックホールにルーティングする。","VPCのネットワークACLで対象国のIP帯域をすべて手動で拒否する。",,"2","Amazon CloudFrontの地理的制限機能（ジオリストリクション）を使用すると、特定の国からのコンテンツへのアクセスを簡単にホワイトリスト化またはブラックリスト化してブロックできます。",1
"開発チームは、AWS Fargateで実行されるコンテナアプリケーションにデータベースのパスワードを提供する必要があります。セキュリティチームは、パスワードがコード内にハードコードされないこと、そして暗号化されて保存されることを求めています。コストを最小限に抑える最適なサービスはどれですか？","AWS Secrets Manager","AWS Systems Manager Parameter Store (SecureString)","AWS KMS","Amazon S3 (SSE-KMS暗号化)",,"2","パラメータやパスワードを暗号化して保存する要件に対し、SSM Parameter StoreのSecureStringは標準機能として無料で提供されており（KMSの呼び出し料金のみ）、コストを最小限に抑えられます。Secrets Managerはローテーション機能に優れますが単価が高くなります。",1
"企業はAWS KMSを使用して独自の暗号化キー（カスタマーマネージドキー: CMK）を作成しました。コンプライアンス要件により、このキーのマテリアル（鍵本体）は毎年自動的にローテーションされる必要があります。これを実現するための設定はどれですか？","KMSキーの自動ローテーションを有効にする。","Amazon EventBridgeを使用して、毎年新しいKMSキーを作成するLambda関数をトリガーする。","AWS Configルールを使用して、古いキーを自動的に無効にする。","キーマテリアルをオンプレミスからインポートし、毎年手動で再インポートする。",,"1","AWS KMSのカスタマーマネージドキーでは、チェックボックス1つで「自動キーローテーション」を有効にでき、AWSが毎年自動的に新しいバックッキングキーを生成してくれます。",1
"あるアプリケーションは、ユーザーがモバイルアプリからログインし、自身のプロフィール情報にアクセスする機能を提供します。ユーザーのサインアップ、サインイン、およびパスワード忘れのフローなどの機能を提供するフルマネージド型のユーザーディレクトリサービスはどれですか？","Amazon Cognito アイデンティティプール","Amazon Cognito ユーザープール","AWS IAM ユーザー","AWS Directory Service",,"2","Amazon Cognito ユーザープールは、Webアプリやモバイルアプリにユーザーのサインアップやサインイン機能を提供するフルマネージドなユーザーディレクトリです。",1
"監査部門は、AWSアカウント内のAmazon S3バケットに保存されるすべての財務報告書が、保存から3年間は管理者であっても絶対に削除または変更されないことを保証する必要があります。この要件を満たす機能はどれですか？","S3 バージョニング","MFA Delete","S3 オブジェクトロック (ガバナンスモード)","S3 オブジェクトロック (コンプライアンスモード)",,"4","S3オブジェクトロックのコンプライアンスモードを使用すると、AWSアカウントのルートユーザーを含め、いかなるユーザーも指定された保持期間中はオブジェクトを上書き・削除できなくなります。",1
"会社はマルチアカウント環境をAWS Organizationsで管理しています。セキュリティ監査の結果、特定の開発アカウントのユーザーが、許可されていないAWSリージョンにリソースを作成していることが判明しました。これを組織全体で効果的に防ぐ方法はどれですか？","各IAMユーザーのポリシーを編集してリージョンを制限する。","AWS CloudTrailでリージョン外のアクティビティを監視するアラームを作成する。","AWS Organizationsでサービスコントロールポリシー (SCP) を作成し、特定のリージョン以外でのすべてのアクションをDenyにする。","AWS Configでサポートされていないリージョンを修復するルールを設定する。",,"3","AWS OrganizationsのSCPを使用することで、組織単位(OU)またはアカウントレベルで、指定したリージョン以外でのすべてのAWS API操作を一元的に拒否（Deny）できます。",1
"Web層とデータベース層を持つアプリケーションがあります。データベースのEC2インスタンスはプライベートサブネットにあり、パブリックインターネットにアクセスできません。しかし、OSのパッチをダウンロードするためにインターネットへのアウトバウンドアクセスが必要です。安全に要件を満たす方法はどれですか？","データベースインスタンスにElastic IPを割り当てる。","パブリックサブネットにNATゲートウェイを作成し、プライベートサブネットのルートを更新する。","VPCエンドポイント (ゲートウェイ型) を作成する。","データベースインスタンスのセキュリティグループのインバウンドルールを変更する。",,"2","プライベートサブネット内のリソースに、外部からの直接アクセスを許可せずにインターネットへのアウトバウンド通信（パッチのダウンロードなど）を許可するには、パブリックサブネットにNATゲートウェイを配置します。",1
"社内のセキュリティ規定により、すべてのAmazon EBSボリュームとAmazon RDSデータベースは保存時に暗号化される必要があります。これら両方のサービスで暗号化の鍵管理を一元的に提供するサービスはどれですか？","AWS Secrets Manager","AWS Certificate Manager (ACM)","AWS Key Management Service (KMS)","AWS CloudHSM",,"3","AWS KMSは、EBS、RDS、S3、DynamoDBなどの多数のAWSサービスとネイティブに統合されており、保存データ（Data at rest）の暗号化に使用する鍵の一元管理を提供します。",1
"Amazon EC2インスタンスで稼働するアプリケーションが、AWS Systems Manager (SSM) 経由で管理設定情報を読み込む必要があります。安全なアクセス許可を付与するベストプラクティスはどれですか？","SSMへのアクセス権限を持つIAMユーザーのアクセスキーを環境変数に保存する。","SSMへのアクセス権限を持つIAMロールを作成し、EC2のインスタンスプロファイルとしてアタッチする。","SSMのVPCエンドポイントポリシーでEC2のIPアドレスを許可する。","AWS Cognitoを使用してEC2インスタンスに一時的な権限を付与する。",,"2","AWSサービス（EC2など）に他のAWSサービス（SSMなど）へのアクセス権限を付与する場合は、IAMロール（インスタンスプロファイル）を使用するのが、認証情報をコードや環境変数に置かないベストプラクティスです。",1
"企業は、インターネットからWebサイトへのインバウンドトラフィックをフィルタリングし、クロスサイトスクリプティング(XSS)やSQLインジェクションなどの一般的な脆弱性からアプリケーションを保護したいと考えています。使用すべきサービスはどれですか？","AWS WAF","Amazon GuardDuty","Amazon Inspector","AWS Network Firewall",,"1","AWS WAF（Web Application Firewall）は、SQLインジェクションやXSSなどの一般的なWebの脆弱性や悪意のあるリクエストからWebアプリケーション（ALB、CloudFront、API Gatewayなど）を保護します。",1
"VPC内で実行されているリソース間のネットワークトラフィック（許可された通信と拒否された通信の両方）を可視化し、ネットワークのトラブルシューティングやセキュリティ分析を行いたいと考えています。どの機能を有効化すべきですか？","AWS CloudTrail","VPC フローログ","Amazon CloudWatch Metrics","AWS Config",,"2","VPCフローログは、VPCのネットワークインターフェイスを行き来するIPトラフィックの情報をキャプチャする機能であり、セキュリティグループやNACLによって拒否(REJECT)または許可(ACCEPT)されたトラフィックを分析できます。",1
