question,option1,option2,option3,option4,option5,answer,explanation,domain
"あなたはソリューションアーキテクトとして、AWSを活用してEC2インスタンス上にデータベースサーバーを設定する役割を担っています。このデータベースには非常に重要な情報を保存するため、必要なパッチをダウンロードする場合を除き、インターネットから直接データベースサーバーに接続されないようにする必要があります。この要件を満たすためのAWSネットワーク設定はどれでしょうか。","データベースをパブリックサブネット内に構築し、セキュリティグループで特定のIPアドレスからのインバウンド通信のみを許可する。","データベースをプライベートサブネット内に構築して、このプライベートサブネットのルートテーブルにNATゲートウェイへのルートを設定する。","データベースをプライベートサブネット内に構築し、インターネットゲートウェイを直接アタッチする。","データベースをパブリックサブネットに配置し、AWS WAFを関連付けて保護する。",,"2","データベースをインターネットからの直接アクセスから保護するには、パブリックIPを持たないプライベートサブネットに配置します。さらにパッチ適用などのアウトバウンド通信（インターネットへのアクセス）を行うためには、パブリックサブネットに配置したNATゲートウェイを経由させるのがベストプラクティスです。",1
"企業は、AWS上でアプリケーションを開発しています。このアプリケーションはAWS Lambda関数を用いて実行されるサーバーレスアプリケーションです。データベース層にはAmazon RDS for MySQL DBインスタンスを使用し、Lambda関数によって多くのデータ処理を行う必要があります。その際の接続構成を最適化することが求められます。運用上のオーバーヘッドを抑えつつ、これらの要件を満たすソリューションはどれでしょうか。","Lambda関数のメモリ割り当てを増やして実行時間を短縮する。","RDS Proxyを構成して、Amazon RDS DBインスタンスへの接続にRDS Proxyを使用する。","RDSデータベースをAmazon DynamoDBに移行する。","Lambda関数の前にAmazon SQSを配置してリクエストをバッファリングする。",,"2","AWS Lambdaはリクエストごとにスケールするため、リレーショナルデータベースに対して大量の接続（コネクション）を張ってしまいデータベースを枯渇させる恐れがあります。Amazon RDS Proxyを導入することで、データベース接続をプール・共有し、この問題を解決できます。",3
"ある企業がAWS上で3層アプリケーションを開発しています。あなたはソリューションアーキテクトとして、このアプリケーションを複数のマイクロサービスに分割し、疎結合化することが求められています。その際、マイクロサービスの構築にはコンテナを利用します。また、運用要件として、AWS上でのコンテナ用コンピュートリソースの構成管理（インフラのプロビジョニング等）を不要にすることが求められています。この要件を満たすために、どのようなアプローチを取るべきでしょうか。","Amazon EKSクラスターを作成し、EC2ワーカーノードでポッドを実行する。","AWS Elastic BeanstalkのDocker環境を使用してコンテナをデプロイする。","Amazon ECSクラスターをFargate起動モードでプロビジョニングする。コンテナにFargateタスクをデプロイする。","Amazon EC2インスタンスをプロビジョニングし、Dockerデーモンをインストールしてコンテナを直接実行する。",,"3","コンテナを利用してマイクロサービスを構築し、かつ「コンピュートリソースの構成管理を不要にする（サーバーレス要件）」を満たすのはAWS Fargateです。Amazon ECSをFargate起動タイプで実行することで、インフラ管理なしでコンテナを実行できます。",2
"AWS Organizationsを使用してマルチアカウント環境を管理している企業があります。セキュリティポリシーにより、すべてのアカウントのIAMユーザーがAWS CloudTrailのログ記録を無効化できないようにする必要があります。ルートユーザーであってもこの操作を制限する最も効率的な方法はどれですか？","すべてのAWSアカウントでAWS Configルールを設定し、無効化されたら修復する。","Organizationsの管理アカウントでサービスコントロールポリシー (SCP) を作成し、CloudTrailの無効化を拒否(Deny)して組織全体に適用する。","CloudTrailのログファイルを暗号化するKMSキーへのアクセス権限を削除する。","各アカウントのIAMグループポリシーを編集してCloudTrailのアクセス権を削除する。",,"2","サービスコントロールポリシー (SCP) を使用すると、組織内のすべてのアカウントに対して強力なガードレール（制限）を一元的に適用でき、各アカウントの管理者（ルートユーザー含む）であっても指定されたアクションを実行できなくなります。",1
"企業は、Application Load Balancer (ALB) の背後で稼働するAmazon EC2インスタンス群でWebサイトをホストしています。外部のIDプロバイダー（GoogleやFacebookなど）を利用してユーザーを認証し、アプリケーション側で安全にユーザーのアイデンティティを検証したいと考えています。最も開発の手間が少ない方法はどれですか？","ALBのリスナールールにAmazon Cognito ユーザープールを使用した認証アクションを追加する。","EC2インスタンス内にサードパーティ製の認証ライブラリをインストールする。","AWS IAM の SAML 2.0 フェデレーションを使用する。","Amazon API GatewayをALBの前に配置し、カスタムLambdaオーソライザーを使用する。",,"1","ALBは、Amazon Cognitoと直接統合してユーザー認証を行う機能（OIDC/ソーシャルログイン対応）をネイティブにサポートしており、アプリケーションコードを改修することなく認証レイヤーを追加できます。",1
"セキュリティチームは、VPC内の特定のEC2インスタンスが、マルウェアのコマンド＆コントロール（C&C）サーバーなど、既知の悪意のあるIPアドレスと通信していないかを監視し、自動的に検知したいと考えています。どのAWSサービスを使用すべきですか？","Amazon Inspector","Amazon Macie","Amazon GuardDuty","AWS WAF",,"3","Amazon GuardDutyは、VPCフローログやDNSクエリログを分析し、脅威インテリジェンス（悪意のあるIPアドレスリストなど）と照合して、アカウント内の不正なネットワークアクティビティを自動的に検知する脅威検出サービスです。",1
"企業はAmazon S3バケットを使用して、数千の顧客ごとに個別のフォルダ（プレフィックス）を持つデータを保存しています。各顧客が自身のフォルダのみにアクセスできるように、個別のIAMユーザーとポリシーを作成していますが、顧客数が増えるにつれてポリシーの管理が限界に達しています。IAMの管理オーバーヘッドを減らすアプローチはどれですか？","顧客ごとに個別のS3バケットを作成する。","S3バケットポリシーでIAMポリシー変数を活用し、`${aws:username}` に一致するプレフィックスへのアクセスのみを許可する単一のポリシーを作成する。","Amazon Cognito アイデンティティプールを使用してアクセスキーを排除する。","S3 アクセスポイントを顧客ごとに作成する。",,"2","IAMポリシー変数（`${aws:username}`など）を使用すると、ユーザー名を動的に評価する単一のIAMポリシーを作成でき、数千のユーザーに対して個別のポリシーを作成・管理する手間を省くことができます。",1
"企業がAmazon API Gatewayを使用してREST APIを提供しています。APIのバックエンドはAWS Lambdaです。一部の悪意のあるユーザーが短時間に大量のリクエストを送信してAPIを停止させようとするのを防ぐため、特定のIPアドレスからの異常なトラフィックを自動的にブロックする必要があります。最適なソリューションはどれですか？","Lambda関数内でIPアドレスを評価し、エラーを返すコードを記述する。","API Gatewayのスロットリング設定のみを有効にする。","AWS WAFのWeb ACLを作成し、レートベースのルールを設定してAPI Gatewayに関連付ける。","VPCのネットワークACLで動的にIPアドレスをブロックする。",,"3","AWS WAFの「レートベースのルール」を使用すると、5分間に指定した閾値を超えるリクエストを送信してきたIPアドレスを自動的に追跡し、一時的にブロックできるため、このようなレイヤー7のDDoS攻撃に最適です。",1
"AWSにデプロイされたアプリケーションが、Amazon RDSに保存された顧客のクレジットカード情報を処理します。データベースのバックアップ（スナップショット）を他のAWSアカウントと共有する要件がありますが、共有されるデータが企業の管理する暗号化キーで保護されたままであることを保証する必要があります。どの暗号化方法を使用すべきですか？","Amazon S3 マネージドキー (SSE-S3) による暗号化","AWS KMSの AWSマネージドキーによる暗号化","AWS KMSの カスタマーマネージドキー (CMK) による暗号化","RDSのデフォルトのストレージ暗号化",,"3","クロスアカウントで暗号化されたスナップショットを共有する場合、共有先のアカウントにもキーの使用許可を与える必要があるため、キーポリシーを企業が制御できる「KMS カスタマーマネージドキー (CMK)」を使用する必要があります。",1
"社内のコンプライアンス要件により、AWS環境内でプロビジョニングされるすべてのAmazon EC2インスタンスには、特定のタグ（例：`Environment=Production`）が必ず付与されていなければなりません。タグ付けされていないインスタンスが作成された場合、自動的にそれを検知し、タグを追加するサービスはどれですか？","AWS CloudTrail","AWS Config","AWS Trusted Advisor","AWS Systems Manager State Manager",,"2","AWS Configを使用すると、リソースの構成が特定のルール（必須タグの存在など）に準拠しているかを評価し、非準拠の場合にはSystems Manager自動化ドキュメントをトリガーして自動的に修復（タグの追加）を行うことができます。",1
