question,option1,option2,option3,option4,option5,answer,explanation,domain
"企業がAmazon EC2インスタンス上で動作するウェブアプリケーションを開発しています。このアプリはAmazon RDS for MySQLにアクセスします。セキュリティチームは、データベースの認証情報をコード内にハードコードせず、30日ごとに自動的にローテーションすることを義務付けました。運用オーバーヘッドを最小限に抑えながらこの要件を満たすソリューションはどれですか？","認証情報をAWS Systems Manager Parameter StoreのSecureStringとして保存し、AWS Lambda関数を使用してローテーションする。","認証情報をAWS Secrets Managerに保存し、RDSの自動ローテーション機能を有効にする。","認証情報をAmazon S3バケットにAWS KMS暗号化を使用して保存し、EC2のIAMロールでアクセスを許可する。","認証情報をEC2インスタンスの環境変数に保存し、cronジョブで毎月更新する。",,"2","AWS Secrets ManagerはRDSなどのネイティブな統合を備えており、組み込み機能で認証情報を安全に保存し、カスタムコードを記述することなく自動ローテーションをスケジュールできます。",1
"ある企業は、VPC内にプライベートサブネットとパブリックサブネットを持っています。プライベートサブネット内のAmazon EC2インスタンスは、インターネットゲートウェイを経由せずに、同じリージョン内のAmazon S3バケットに安全にアクセスして機密データをアップロードする必要があります。この要件を満たす最も安全でコスト効率の良い方法はどれですか？","パブリックサブネットにNATゲートウェイを作成し、プライベートサブネットのルートテーブルを更新する。","Amazon S3用のゲートウェイVPCエンドポイントを作成し、プライベートサブネットのルートテーブルに関連付ける。","AWS Direct Connectを設定して、オンプレミス経由でS3にアクセスする。","VPCピアリング接続を作成し、S3のパブリックIPブロックへルーティングする。",,"2","ゲートウェイVPCエンドポイントを使用することで、VPCとS3間の通信がAWSのプライベートネットワーク内に留まり、インターネットを経由せずに安全かつ無料でアクセス可能になります。",1
"グローバルに展開するeコマース企業が、AWS上のWebサイトを標的としたDDoS攻撃やSQLインジェクション攻撃から保護したいと考えています。アプリケーションはAmazon CloudFrontとApplication Load Balancer (ALB) を使用しています。多層的な防御を最小限の構成で提供するソリューションはどれですか？","CloudFrontディストリビューションにAWS WAFを関連付け、AWS Shield Advancedを有効にする。","ALBのセキュリティグループで特定のIPアドレスからの通信をブロックする。","Amazon GuardDutyを有効にし、CloudWatchアラームでLambdaをトリガーして攻撃をブロックする。","AWS Network Firewallをデプロイし、すべてのインバウンドトラフィックを検査する。",,"1","AWS WAFはSQLインジェクションなどのアプリケーション層の攻撃を防ぎ、AWS Shield Advancedは高度なDDoS攻撃に対する強力な保護とDDoSレスポンスチーム(DRT)へのアクセスを提供します。",1
"開発チームは、Amazon S3バケットに機密のログファイルを保存しています。コンプライアンス要件により、これらのファイルは保存時に必ず暗号化され、暗号化キーのローテーションを手動で制御し、キーの使用状況をAWS CloudTrailで監査できる必要があります。どの暗号化手法を使用すべきですか？","SSE-S3 (Amazon S3マネージドキーによるサーバー側の暗号化)","SSE-C (顧客提供キーによるサーバー側の暗号化)","SSE-KMS (AWS KMS カスタマー管理キーによるサーバー側の暗号化)","SSE-KMS (AWS KMS AWSマネージドキーによるサーバー側の暗号化)",,"3","キーのローテーションを顧客自身で手動制御（またはスケジュール）でき、かつCloudTrailでキーの使用状況を詳細に監査できるのは、AWS KMSの「カスタマー管理キー」を使用した場合のみです。",1
"企業のアプリケーションは、何百万人ものモバイルユーザーからのアクセスを受け付けます。ユーザーがFacebookやGoogleなどのソーシャルIDプロバイダーを使用してログインし、アプリケーションがユーザーの一時的なAWS認証情報を取得してAmazon DynamoDBから直接データを読み取れるようにしたいと考えています。どのサービスを使用すべきですか？","AWS IAMのSAML 2.0フェデレーション","Amazon Cognito アイデンティティプール","Amazon Cognito ユーザープール","AWS Directory Service",,"2","Amazon Cognitoアイデンティティプールは、ソーシャルログインを利用して、AWSリソース（DynamoDBなど）に直接アクセスするための一時的なAWS権限をユーザーに付与するために使用されます。",1
"マスターキーの使用を追跡可能な暗号化ソリューションを用いて、Amazon S3にデータを暗号化して保存しようと思います。さらに、異なるリージョンの2つのAmazon S3バケットで同じ暗号化キーを使用した同じ内容のデータを保存し、それぞれのリージョンで復号する必要があります。この要件を最小限のコストと作業量で満たすソリューションはどれですか？","暗号化にAmazon S3マネージドキー(SSE-S3)を使用し、クロスリージョンレプリケーションを設定する。","各リージョンで個別のKMSキーを作成し、データをインポートして同期する。","AWS KMSのマルチリージョンキーを使用してSSE-KMSで暗号化し、S3のクロスリージョンレプリケーションを設定する。","AWS CloudHSMクラスターを両方のリージョンにデプロイしてキーマテリアルを同期する。",,"3","KMSのマルチリージョンキーを使用すると、異なるリージョンで同一のキーマテリアルを持つキーを作成でき、レプリケート先のリージョンでもスムーズに復号できます。",1
"AWSアカウントの管理者は、特定のS3バケットにオブジェクトがアップロードされる際、必ず暗号化（SSE-KMS）が指定されていることを強制したいと考えています。これを実現する最も運用オーバーヘッドが少ない方法はどれですか？","S3バケットのデフォルト暗号化設定を有効にし、対象のKMSキーを指定する。","AWS Lambda関数を作成し、S3のアップロードイベントをトリガーにして非暗号化オブジェクトを削除する。","バケットポリシーを作成し、暗号化ヘッダーが含まれていないPutObjectリクエストを拒否する。","AWS Configルールを設定し、準拠していないオブジェクトを修復する。",,"1","Amazon S3はデフォルト暗号化をネイティブでサポートしています。バケットのプロパティでデフォルト暗号化を設定するだけで、アップロードされるすべてのオブジェクトが自動的に暗号化されます。",1
"Amazon EC2インスタンスが、Systems Manager (SSM) によって管理される必要があります。EC2インスタンスはプライベートサブネットにあり、インターネットアクセスはありません。SSMエージェントがSSMサービスと通信できるようにするための適切なネットワーク設定はどれですか？(2つ選択)","EC2インスタンスにElastic IPを割り当てる。","VPCにインターネットゲートウェイをアタッチし、ルートを追加する。","Systems Manager用のインターフェイスVPCエンドポイント (AWS PrivateLink) を作成する。","EC2に関連付けられたセキュリティグループで、ポート443のアウトバウンドトラフィックを許可する。","VPCのDHCPオプションセットでカスタムDNSサーバーを設定する。","3,4","インターネットアクセスがないプライベート環境でSSMを使用するには、VPCエンドポイント(PrivateLink)を作成し、SGでAWSエンドポイントに対するHTTPS(443)アウトバウンド通信を許可する必要があります。",1
"データ分析チームは、Amazon Athenaを使用してAmazon S3上のデータにクエリを実行します。ユーザーの役割に応じて、S3バケット内の特定の行や列へのアクセスを制限する必要があります。これを実現するために利用すべきAWSサービスはどれですか？","AWS Lake Formation","AWS IAM ポリシーとバケットポリシー","AWS KMS","AWS Macie",,"1","AWS Lake Formationは、S3データレイク上のデータに対するきめ細かいアクセスコントロール（データベース、テーブル、列、行レベルの制限）を可能にします。",1
"企業の監査部門から、過去1年間にAWSアカウントで「誰が」「いつ」「どのリソースに対して」設定変更を行ったかの詳細な記録を提出するよう求められました。また、その記録ファイルが第三者によって改ざんされていないことを証明する必要があります。これを満たす構成はどれですか？","AWS Configを有効にし、スナップショットをS3に保存する。","AWS CloudTrailを有効にし、ログファイルの整合性検証（Log File Validation）をオンにする。","Amazon CloudWatch LogsにAPIアクションを出力し、KMSで暗号化する。","AWS Artifactからコンプライアンスレポートをダウンロードする。",,"2","CloudTrailはAPI操作履歴を記録します。「ログファイルの整合性検証」を有効にすると、生成されたログファイルに対してSHA-256を用いたデジタル署名が作成され、改ざんがないことを証明できます。",1
