question,option1,option2,option3,option4,option5,answer,explanation,domain
"企業は、金融取引の監査ログをAmazon S3に保存しています。コンプライアンス要件により、保存されたログファイルは作成から7年間、管理者であっても絶対に削除や変更ができないように保護する必要があります。この要件を満たす最適な方法はどれですか？","S3バケットでMFA Deleteを有効にする。","S3ライフサイクルポリシーを作成し、7年未満のオブジェクトの削除アクションを無効化する。","S3オブジェクトロックをコンプライアンスモードで有効にし、保持期間を7年に設定する。","バケットポリシーで s3:DeleteObject アクションをすべてのユーザーに対してDenyにする。",,"3","S3オブジェクトロックのコンプライアンスモードを使用すると、AWSアカウントのルートユーザーを含め、誰であっても指定された保持期間が経過するまでオブジェクトの削除や上書きができなくなります。",1
"開発チームはAmazon RDS for PostgreSQLデータベースにアクセスするアプリケーションを構築しています。データベースのパスワードを管理する運用オーバーヘッドをなくし、IAMユーザーまたはロールを使用してデータベースに対する認証を行いたいと考えています。どの機能を使用すべきですか？","AWS Secrets Manager のパスワードローテーション機能","IAM データベース認証","AWS Systems Manager Parameter Store","AWS Directory Service を使用した Active Directory 統合",,"2","RDSのIAMデータベース認証を有効にすると、パスワードを使用せずに、IAMユーザーまたはIAMロールの一時的なセキュリティ認証情報（トークン）を使用してデータベースに接続できます。",1
"あるWebサイトが、特定のIPアドレスからの大量のHTTPリクエストによるDDoS攻撃（HTTPフラッド攻撃）を受けています。アプリケーションはApplication Load Balancer (ALB) の背後にあります。悪意のあるIPアドレスからのリクエストを自動的にブロックし、正常なユーザーのアクセスを維持する最適なサービスはどれですか？","AWS WAFのレートベースのルールを使用する。","VPCのネットワークACLでインバウンドルールを更新する。","Amazon GuardDutyを有効にして自動ブロックを設定する。","AWS Shield Standardの自動ミティゲーションに依存する。",,"1","AWS WAFのレートベースのルールを使用すると、5分間に指定した閾値を超えるリクエストを送信してきたIPアドレスを自動的にブロックできるため、HTTPフラッド攻撃に最適です。",1
"企業はVPC内でAmazon EC2インスタンスを実行しており、デフォルトのVPCネットワークアクセス制御リスト(NACL)とセキュリティグループを使用しています。セキュリティチームは、VPC内で許可または拒否されたすべてのネットワークトラフィックの送信元IPとポート番号を分析したいと考えています。どうすればよいですか？","Amazon Inspectorを有効にする。","AWS CloudTrailでデータイベントを有効にする。","VPCフローログを有効にし、ログをAmazon S3に送信する。","EC2インスタンス内でtcpdumpを実行し、CloudWatchに送信する。",,"3","VPCフローログは、VPC内のネットワークインターフェイスに出入りするIPトラフィックの情報をキャプチャして、S3やCloudWatch Logsに保存するための機能です。",1
"ある企業が、Amazon API GatewayとAWS Lambdaを使用したサーバーレスアプリケーションを開発しました。APIへのアクセスは、企業のオンプレミスネットワークからAWS Direct Connectを経由したプライベートな通信のみに制限し、インターネットからのアクセスを完全に遮断する必要があります。最適な設計はどれですか？","API GatewayのAPIタイプを「エッジ最適化」に設定し、WAFでIP制限を行う。","API GatewayのAPIタイプを「プライベート」に設定し、VPCエンドポイント経由でアクセスする。","Lambda関数をVPC内に配置し、インターネットゲートウェイを削除する。","API GatewayでAPIキーを必須にし、オンプレミスのみに配布する。",,"2","プライベートAPIは、VPCエンドポイント（AWS PrivateLink）を使用してVPC内からのみアクセスできるように設計されており、Direct Connect経由でのオンプレミスからのアクセスに最適です。",1
"企業はAmazon S3を使用してプライベートな動画コンテンツをホストしています。特定の有料サブスクリプションを持つユーザーに対してのみ、動画のダウンロードを許可したいと考えています。動画への直接アクセスを防ぎつつ、一時的なアクセス権をユーザーに付与する最も安全な方法はどれですか？","S3バケットをパブリックにし、ファイル名をランダムなハッシュ値にする。","IAMユーザーを動的に作成し、対象のファイルへの読み取り権限を付与する。","Amazon S3の署名付きURL (Presigned URL) を生成し、ユーザーに提供する。","AWS CognitoユーザープールとS3の静的ウェブサイトホスティングを組み合わせる。",,"3","署名付きURLを使用すると、バケットをプライベートに保ったまま、指定した有効期限内のみオブジェクトにアクセスできる一時的なURLをプログラムで生成してユーザーに提供できます。",1
"AWS Organizationsを使用して複数アカウントを管理している企業があります。セキュリティポリシーにより、すべてのAWSアカウントでAmazon EC2インスタンスにパブリックIPアドレスを自動割り当てすることを禁止する必要があります。このルールを最も効率的にアカウント全体に強制する方法はどれですか？","各アカウントでAWS Configルールを作成し、違反するEC2インスタンスを自動終了する。","Organizationsのマスターアカウントでサービスコントロールポリシー (SCP) を作成し、すべてのアカウントに適用する。","すべてのアカウントのVPCでインターネットゲートウェイを削除する。","各アカウントのIAMロールでec2:RunInstancesアクションに制限を設ける。",,"2","サービスコントロールポリシー (SCP) を使用すると、組織内のすべてのアカウントに対して特定のAWSサービスやアクション（この場合はパブリックIPの割り当てなど）を強力に制限・強制できます。",1
"Amazon EC2インスタンス上で稼働しているアプリケーションが、ユーザーがアップロードした機密ファイルを処理します。ファイルはEC2にアタッチされたAmazon EBSボリュームに一時的に保存されます。コンプライアンス上、このEBSボリュームは保存時に暗号化されている必要があります。運用オーバーヘッドを最小にしてこれを満たす方法はどれですか？","EC2インスタンス内でOSレベルのファイル暗号化(BitLockerやLUKS)を構成する。","アプリケーションコード内でAWS KMS APIを呼び出し、ファイルを暗号化してからディスクに書き込む。","AWSアカウントレベルで「EBSのデフォルト暗号化」を有効にする。","EC2インスタンス作成後にスナップショットを取得し、暗号化して復元する。",,"3","AWSアカウントのリージョンごとに「EBSボリュームのデフォルト暗号化」を有効にすることで、今後作成されるすべてのEBSボリュームが自動的にKMSキーで暗号化されるため、運用負荷が最小になります。",1
"企業は、数千台のIoTデバイスからのMQTTメッセージをAWSで処理する予定です。デバイスの認証と認可を安全に管理し、デバイスごとに個別の証明書を使用して双方向通信を行えるようにするフルマネージドサービスはどれですか？","Amazon MQ","AWS IoT Core","Amazon Kinesis Data Streams","Amazon SQS",,"2","AWS IoT Coreは、IoTデバイスをAWSクラウドに安全に接続するためのフルマネージドサービスであり、X.509証明書を使用したデバイスの相互認証(mTLS)とMQTTプロトコルをネイティブサポートしています。",1
"セキュリティ監査チームが、AWSアカウント内のIAMユーザーのパスワードが企業のパスワードポリシー（文字数、記号の必須など）を満たしているか、またMFAが有効になっているかを一覧で確認したいと考えています。どの機能を使用すれば一括でレポートを取得できますか？","AWS CloudTrailの履歴検索","IAM 認証情報レポート (Credential Report)","AWS Trusted Advisor","Amazon GuardDutyのダッシュボード",,"2","IAM認証情報レポートをダウンロードすると、アカウント内のすべてのユーザーのパスワード、アクセスキーのステータス、MFAの有効化状況などをCSV形式で一覧確認できます。",1
"企業はVPC内にWindows File Server用のAmazon FSxをデプロイし、オンプレミスのActive Directory(AD)と連携させたいと考えています。FSxとオンプレミスAD間の安全なネットワーク通信を確立するために、VPC側に設定すべきコンポーネントは何ですか？","AWS Directory Service (Simple AD)","NAT ゲートウェイ","AWS Site-to-Site VPN または AWS Direct Connect","インターネットゲートウェイと Elastic IP",,"3","オンプレミスのADとVPC内のAmazon FSxを連携させるには、パブリックインターネットをバイパスして安全にプライベート通信を行うためのSite-to-Site VPNまたはDirect Connect接続が必要です。",1
"企業の開発者は、複数のAWSアカウントで利用する共有のS3バケットを管理しています。クロスアカウントでアクセスされるオブジェクトについて、アップロードしたアカウントではなく、バケット所有者のアカウントが常にオブジェクトの所有権を持つように強制したいと考えています。どの設定を使用すべきですか？","バケットポリシーで s3:PutObjectAcl を拒否する。","S3 オブジェクト所有権 (Object Ownership) を「バケット所有者の強制」に設定する。","S3 ブロックパブリックアクセスをオンにする。","IAM ロールの信頼ポリシーでクロスアカウントアクセスを構成する。",,"2","S3 Object Ownership機能で「バケット所有者の強制 (Bucket owner enforced)」を選択すると、バケット内の全オブジェクトの所有権がバケット所有者に統一され、ACLが無効化されます。",1
"VPC内で実行されているEC2インスタンスが、Amazon DynamoDBテーブルにアクセスする必要があります。セキュリティ要件により、この通信はパブリックインターネットを経由してはなりません。どのソリューションを使用すべきですか？","VPCエンドポイント (ゲートウェイ型) を作成し、ルートテーブルを更新する。","VPCエンドポイント (インターフェイス型) を作成し、セキュリティグループを割り当てる。","NATゲートウェイを作成し、プライベートサブネットからインターネット経由でアクセスする。","Direct Connectを使用してDynamoDBのパブリックIPにルーティングする。",,"1","Amazon S3およびAmazon DynamoDBには、ルートテーブルのターゲットとして機能する「ゲートウェイ型 VPCエンドポイント」を使用するのが標準的かつ無料のプライベート接続方法です。",1
"AWS環境上のWebアプリケーションに、クロスサイトスクリプティング(XSS)に対する保護を追加する必要があります。アプリケーションはApplication Load Balancer(ALB)を使用しています。最も運用オーバーヘッドが少ない方法はどれですか？","ALBのリスナールールでカスタムの正規表現評価を設定する。","EC2インスタンスにサードパーティの侵入検知システム(IDS)をインストールする。","ALBにAWS WAFを関連付け、AWSマネージドルールグループを適用する。","Amazon GuardDutyでXSS攻撃を検知し、Lambdaでブロックする。",,"3","AWS WAFをALBに関連付け、提供されているAWSマネージドルール（コアルールセットなど）を有効にするだけで、XSSやSQLインジェクションなどの一般的な脆弱性から即座に保護できます。",1
"ある企業はAWS KMSを使用してカスタマー管理キー(CMK)を作成し、データの暗号化を行っています。このキーが誤って削除されないように保護し、もし削除の指示が出された場合でも直ちには削除されず、数日間の猶予期間を設けたいと考えています。どの機能が関連しますか？","KMSキーの自動ローテーション","キーの無効化とスケジューリングされた削除 (Pending Deletion)","IAMポリシーによる削除アクションの明示的なDeny","CloudTrailによるKMS APIの監視",,"2","KMSのカスタマー管理キーを削除する際は即時削除はできず、必ず7日〜30日の「削除の待機期間 (Pending Deletion)」をスケジュールする必要があります。これにより誤削除を防ぎます。",1
"Webサイトの静的コンテンツをホストするためにAmazon S3とAmazon CloudFrontを使用しています。ユーザーがS3のURLに直接アクセスするのを防ぎ、必ずCloudFrontを経由してのみコンテンツにアクセスできるようにする設定はどれですか？","S3のブロックパブリックアクセスをすべてオフにする。","CloudFrontのオリジンアクセス制御 (OAC) を設定し、S3バケットポリシーを更新する。","S3バケットでCORS (Cross-Origin Resource Sharing) を無効にする。","CloudFrontディストリビューションにAWS WAFをアタッチする。",,"2","オリジンアクセス制御 (OAC) または従来のOAIを使用することで、S3バケットをプライベートに保ちつつ、指定したCloudFrontディストリビューションからの読み取りアクセスのみを許可できます。",1
"Amazon EC2インスタンスがパブリックサブネットに配置されており、Elastic IPを持っています。しかし、インターネットからインスタンスにSSH（ポート22）で接続できません。セキュリティグループでは送信元のIPアドレスからポート22が許可されています。次に確認すべきネットワーク設定は何ですか？","VPCフローログのステータス","ルートテーブルにインターネットゲートウェイへのルート(0.0.0.0/0)が存在するか","ネットワークACLのインバウンドルールのみ","NATゲートウェイがパブリックサブネットに存在するか",,"2","セキュリティグループが正しい場合、パブリックサブネットとして機能するためには、そのサブネットに関連付けられたルートテーブルにインターネットゲートウェイ(IGW)へのデフォルトルートが必要です。",1
"企業は、AWSへの移行の一環としてオンプレミスのActive Directory(AD)をAWSに拡張しようとしています。AWS上のアプリケーションからオンプレミスのADユーザーの認証情報をシームレスに利用でき、管理の手間を最小限にするサービスはどれですか？","Amazon EC2にWindows Serverを構築してADドメインコントローラーに昇格させる。","AWS Directory Service の AD Connector を使用する。","AWS Directory Service の Simple AD を構築する。","Amazon Cognito ユーザープールにADのユーザーを手動でインポートする。",,"2","AD Connectorは、情報のキャッシュや同期を行わずにAWS上のリクエストをオンプレミスのADに直接プロキシ（転送）するため、既存のAD認証情報をそのまま利用する際の管理負荷が最小です。",1
"AWS上のアプリケーションがAmazon RDSからデータを取得しています。データベースのパスワードはプレーンテキストで構成ファイルに書かれていますが、これを安全な場所に移行したいと考えています。コードの変更を最小限にしつつ、動的にパスワードを取得できるサービスはどれですか？(2つ選択)","AWS KMS","AWS Systems Manager Parameter Store","AWS Secrets Manager","AWS Certificate Manager (ACM)","Amazon S3",,"2,3","データベースのパスワードなどの機密情報を安全に保存し、API経由で動的に取得できるマネージドサービスは、Systems Manager Parameter Store または Secrets Manager です。",1
"マルチティア(多層)のWebアプリケーションが、複数のアベイラビリティーゾーン(AZ)にまたがるAuto ScalingグループのEC2インスタンスで実行されています。データベース層はAmazon RDSのマルチAZ配置を利用しています。あるAZが完全にダウンした場合、システムはどのように対応しますか？","Auto Scalingが異常なインスタンスを終了し、RDSはスタンバイDBにフェイルオーバーする。ダウンタイムなしで処理が継続される。","Application Load Balancerがトラフィックを正常なAZに振り分け、RDSは自動的に別AZのスタンバイインスタンスにフェイルオーバーする。","手動でCloudFormationテンプレートを再実行し、正常なAZにリソースを再作成する必要がある。","RDSは別リージョンのリードレプリカにフェイルオーバーし、EC2インスタンスは停止する。",,"2","ALBは自動的に正常なAZのインスタンスのみにトラフィックを流し、マルチAZ RDSはインフラ障害を検知して自動的にセカンダリ（スタンバイ）へDNSを切り替えるため、システム全体として可用性が維持されます。",2
"災害対策(DR)計画の一環として、東京リージョンのAmazon RDS for MySQLデータベースのデータを、シンガポールリージョンに継続的かつ自動的にバックアップしたいと考えています。障害時のデータ損失(RPO)を最小限にするアプローチはどれですか？","RDSの自動バックアップ機能を有効にし、S3クロスリージョンレプリケーションを使用する。","AWS Database Migration Service (DMS) を使用して日次でデータを転送する。","シンガポールリージョンにRDSのクロスリージョンリードレプリカを作成する。","毎時間スナップショットを取得し、Lambda関数で別リージョンにコピーする。",,"3","クロスリージョンリードレプリカを使用すると、プライマリDBの変更が非同期で継続的にレプリケートされるため、スナップショットのコピーに比べてデータ損失の可能性(RPO)が最も小さくなります。",2
"Amazon S3バケットに画像ファイルを保存しています。ユーザーが誤ってファイルを上書きしてしまった場合に、以前のバージョンをすぐに復元できるようにする必要があります。また、誤操作による完全な削除も防ぎたいと考えています。有効化すべき機能はどれですか？ (2つ選択)","S3 インテリジェントティアリング","S3 バージョニング","MFA Delete (多要素認証による削除)","S3 転送アクセラレーション","S3 ライフサイクルルール",,"2,3","S3バージョニングにより上書きされた前のバージョンを保持でき、MFA Deleteを組み合わせることで、オブジェクトのバージョンを完全に削除する際にMFAトークンを要求し、悪意や重大なミスによる削除を防ぎます。",2
"あるWebアプリケーションは、月初めの3日間だけレポート生成のためにトラフィックが通常の10倍に跳ね上がります。それ以外の期間は非常に予測可能な低いトラフィックです。EC2 Auto Scalingの最適なスケーリング戦略はどれですか？","簡易スケーリングポリシー (Simple Scaling)","ターゲット追跡スケーリングポリシー (Target Tracking)","ステップスケーリングポリシー (Step Scaling)","スケジュールされたスケーリング (Scheduled Scaling)",,"4","トラフィックの増加が「月初めの3日間」と明確に予測可能な場合、事前にインスタンスを増やしておくスケジュールされたスケーリングが最も確実で、立ち上がりの遅れを防ぐことができます。",2
"企業はVPC内でAmazon EC2インスタンスのフリートを実行しており、トラフィックの負荷分散のためにApplication Load Balancer (ALB) を使用しています。一部のEC2インスタンスがフリーズして応答しなくなった場合、ALBはどのようなアクションを取りますか？","フリーズしたEC2インスタンスを自動的に再起動する。","ヘルスチェックに失敗したインスタンスへの新しいリクエストの送信を停止し、正常なインスタンスにのみトラフィックを転送する。","Auto Scalingグループに指示を出して、新しいインスタンスを即座にプロビジョニングする。","503 Service Unavailableエラーをすべてのユーザーに返す。",,"2","ALBは定期的なヘルスチェックを行い、異常を検知したターゲットをルーティングから切り離します。再起動や新規作成はAuto Scalingグループの役割です。",2
"アプリケーションは処理に時間のかかる動画エンコーディングタスクを実行します。Webサーバー(フロントエンド)がリクエストを受け取り、バックエンドのEC2ワーカーがエンコーディングを行います。Webサーバーとワーカーを疎結合(デカップリング)し、トラフィック急増時にタスクが失われないようにするサービスはどれですか？","Amazon SNS","Amazon SQS","Amazon Kinesis Data Firehose","AWS Step Functions",,"2","Amazon SQS (Simple Queue Service) は、システムコンポーネント間の非同期な通信キューを提供し、バックエンドが処理しきれないタスクをバッファリングしてデータの損失を防ぐデカップリングに最適です。",2
"Amazon DynamoDBテーブルにユーザーの注文履歴を保存しています。一部の注文データは作成から数分後に更新されますが、誤った更新が行われた場合に備えて、過去35日間の任意の秒単位の時点にテーブルを復元できるようにしたいと考えています。どの機能を使用しますか？","DynamoDB オンデマンドバックアップ","DynamoDB ポイントインタイムリカバリ (PITR)","AWS Backup","DynamoDB グローバルテーブル",,"2","DynamoDBのポイントインタイムリカバリ(PITR)を有効にすると、過去35日間の任意の1秒間にテーブルのデータをロールバック（復元）することが可能になり、偶発的な書き込みや削除から保護されます。",2
"オンプレミス環境とAWSクラウド間で、データベースの移行を行っています。移行中もオンプレミスのデータベースは稼働を続け、変更されたデータは継続的にAWS側のデータベースに同期される必要があります。ダウンタイムを最小限にするAWSサービスはどれですか？","AWS Snowball","AWS DataSync","AWS Database Migration Service (DMS)","AWS Backup",,"3","AWS DMSは、移行中もソースデータベースを完全に運用可能な状態に保ちながら、同種または異種のデータベース間でデータを継続的にレプリケーション（CDC）し、ダウンタイムを極小化して移行できます。",2
"複数のリージョン（東京とバージニア北部）でアプリケーションをデプロイしています。Route 53を使用して、ユーザーを物理的に最も近く、応答時間が短いリージョンにルーティングしたいと考えています。どのルーティングポリシーを使用すべきですか？","加重ルーティング","フェイルオーバールーティング","レイテンシーベースルーティング","複数値回答ルーティング",,"3","レイテンシーベースルーティングは、AWSネットワークの遅延データを基に、ユーザーに対して最もレイテンシー（遅延）が低くなるリージョンのエンドポイントを返答します。",2
"Amazon SQSキューを使用してメッセージを処理しています。コンシューマー（ワーカー）アプリケーションの処理にバグがあり、特定のメッセージの処理が何度も失敗してループに陥っています。この問題のあるメッセージを隔離し、他のメッセージの処理を妨げないようにする機能は何ですか？","遅延キュー (Delay Queue)","可視性タイムアウト (Visibility Timeout)","デッドレターキュー (Dead-Letter Queue, DLQ)","ロングポーリング (Long Polling)",,"3","デッドレターキュー(DLQ)を設定すると、指定した最大受信回数を超えて処理に失敗したメッセージが自動的にDLQに移動され、メインキューの詰まりを防ぎ、後でエラー原因を分析できるようになります。",2
"企業はAWSクラウド上に高い可用性を持つアーキテクチャを構築したいと考えています。データベースにはAmazon Aurora MySQLを使用する予定です。単一のデータセンターで火災などの大規模障害が発生した場合でも、データ損失なしでフェイルオーバーを自動化する設計はどれですか？","Auroraインスタンスを単一のアベイラビリティーゾーンに配置し、S3への自動バックアップを有効にする。","AuroraクラスターをマルチAZ構成でデプロイし、別のアベイラビリティーゾーンにAuroraレプリカを配置する。","Auroraのデータを毎時間AWS Backupでスナップショット取得する。","Aurora グローバルデータベースを構成し、セカンダリリージョンを準備する。",,"2","Auroraはデフォルトでストレージが3つのAZに分散されますが、コンピュートノード（Auroraレプリカ）を別AZに配置することで、プライマリノードに障害が発生した際に自動的かつ瞬時にフェイルオーバーが行われます。",2
"あるアプリケーションは、VPC内のEC2インスタンスからAmazon EFS（Elastic File System）をマウントして共有ファイルを読み書きしています。可用性を最大化するため、複数のアベイラビリティーゾーン(AZ)にあるEC2からアクセスします。EFSのマウントターゲットはどのように設定すべきですか？","1つのAZにマウントターゲットを作成し、すべてのEC2からそこにアクセスする。","EC2インスタンスが存在する各AZごとにEFSマウントターゲットを作成する。","パブリックサブネットにマウントターゲットを1つ配置し、NATゲートウェイ経由でアクセスする。","VPCエンドポイントを作成してEFSにアクセスする。",,"2","高可用性と低いレイテンシーを確保するためには、EFSにアクセスするEC2インスタンスが存在する各アベイラビリティーゾーンにEFSマウントターゲットを作成し、同じAZ内のターゲットをマウントするのがベストプラクティスです。",2
"アプリケーションの静的リソース（画像、CSS、JavaScript）をAmazon S3でホストしています。ある日、別のドメインでホストされているWebサイトからこれらのリソースを非同期通信（JavaScriptのFetch API）で読み込もうとしたところ、ブラウザでエラーが発生しました。これを解決する設定は何ですか？","S3バケットのブロックパブリックアクセスを無効にする。","S3バケットでCORS (Cross-Origin Resource Sharing) を構成する。","S3バケットポリシーにs3:GetObject許可を追加する。","S3バケットの静的ウェブサイトホスティングを有効にする。",,"2","異なるドメイン（オリジン）からブラウザのスクリプト経由でS3のリソースを読み込むには、S3バケット側でCORSを設定し、アクセス元のドメインを明示的に許可する必要があります。",2
"Amazon EC2インスタンス上で動作するWebアプリケーションがあります。このインスタンスはステートフルであり、ユーザーのセッション情報をローカルのメモリに保存しています。複数のインスタンスをALBの背後に配置した場合、ユーザーが常に同じインスタンスにルーティングされるようにするにはどの機能を使いますか？","ALBのクロスゾーン負荷分散を無効にする。","Target Groupのスティッキーセッション (Session Affinity) を有効にする。","Auto Scalingの終了ポリシーを「OldestInstance」に変更する。","Route 53の複数値回答ルーティングを使用する。",,"2","スティッキーセッション（セッションアフィニティ）を有効にすると、ALBはCookieを使用して、ユーザーのセッション中の一連のリクエストを同じターゲット（EC2インスタンス）に継続してバインドします。",2
"企業は、オンプレミス環境とAWSリージョン間のネットワークをAWS Direct Connectを使用して接続しています。単一のDirect Connect接続の物理的なハードウェア障害に対する冗長性（高可用性）を確保するための推奨事項はどれですか？","AWS Site-to-Site VPN接続をバックアップとして設定する。","VPC内にNATゲートウェイを追加デプロイする。","別のAWSリージョンにVPCピアリング接続を設定する。","Transit Gatewayのルートテーブルを静的に構成する。",,"1","Direct Connectの専用線が切断された場合のバックアップとして、インターネット経由のAWS Site-to-Site VPN接続をフェイルオーバーパスとして設定するのが、コスト効率の良い一般的なHA(高可用性)設計です。",2
"大規模なイベントのチケット販売サイトを設計しています。発売開始直後の数分間に数十万件のアクセスが集中し、データベースへの書き込みがボトルネックになることが予想されます。スケーラブルでリクエストを失わないアーキテクチャの組み合わせはどれですか？","Route 53 -> EC2 -> Amazon RDS","API Gateway -> SQS -> Lambda -> DynamoDB","CloudFront -> S3 -> Athena","ALB -> EC2 -> ElastiCache -> RDS",,"2","API Gatewayでリクエストを受け取り、即座にSQSキューに格納（バッファリング）することで、トラフィックのスパイクを吸収します。その後Lambdaがキューから自身のペースでメッセージを処理しDynamoDBに保存するため、システムがダウンしません。",2
"アプリケーションは世界中のユーザーに動画ファイルを配信しています。動画はAmazon S3に保存されていますが、ユーザーから「ダウンロードが遅い」という苦情が寄せられています。コードの変更を最小限に抑えながら、グローバルユーザーへの配信パフォーマンスを大幅に向上させるサービスはどれですか？","Amazon CloudFront","AWS Global Accelerator","Amazon ElastiCache","S3 クロスリージョンレプリケーション",,"1","Amazon CloudFront (CDN) をS3の前に配置することで、世界中のエッジロケーションに動画がキャッシュされ、ユーザーは最も近いエッジから高速にコンテンツをダウンロードできるようになります。",3
"EC2インスタンスにアタッチされたAmazon EBSボリュームのパフォーマンス要件が変更されました。ダウンタイム（インスタンスの停止）を発生させずに、EBSボリュームのサイズを拡張し、ボリュームタイプを汎用SSD(gp2)からプロビジョンドIOPS SSD(io2)に変更することは可能ですか？","インスタンスを停止しなければ変更できない。","ボリュームサイズは変更できるが、タイプは変更できない。","Amazon EBS Elastic Volumes機能を使用して、稼働中のままサイズとタイプを変更できる。","新しいボリュームを作成してデータをコピーし、アタッチし直す必要がある。",,"3","EBS Elastic Volumes機能により、インスタンスを実行したまま、EBSボリュームのサイズ拡張、ボリュームタイプの変更、パフォーマンス（IOPSなど）の調整を動的に行うことができます。",3
"高頻度の読み取りが発生するリレーショナルデータベース(Amazon RDS)の負荷を軽減するために、メモリ内キャッシュストアを導入したいと考えています。高度なデータ構造（リスト、セット、ソート済みセットなど）をサポートし、マルチAZによる高可用性に対応しているサービスはどれですか？","Amazon ElastiCache for Memcached","Amazon ElastiCache for Redis","Amazon DynamoDB Accelerator (DAX)","Amazon RDS Proxy",,"2","ElastiCache for Redisは、Memcachedとは異なり、複雑なデータ構造のサポート、データの永続化、およびリードレプリカを使用したマルチAZでの高可用性（フェイルオーバー）をサポートしています。",3
"ビッグデータ処理を行うEC2インスタンス群があります。これらのインスタンスは相互に大量のデータをやり取りするため、ノード間のネットワークレイテンシーを極限まで低く抑え、スループットを最大化する必要があります。インスタンスをどのように配置すべきですか？","スプレッドプレイスメントグループに配置する。","複数のアベイラビリティーゾーンに均等に分散させる。","クラスタープレイスメントグループに配置する。","専用ホスト (Dedicated Hosts) 上にデプロイする。",,"3","クラスタープレイスメントグループは、単一のアベイラビリティーゾーン内のインスタンスを論理的にグループ化し、HPCなどの緊密に結合されたノード間で非ブロッキングの広帯域幅ネットワーク通信を実現します。",3
"Amazon Kinesis Data Streamsを使用してクリックストリームデータを収集しています。処理するデータ量が急増し、コンシューマーアプリケーションがデータを処理しきれずに遅延（イテレーターの遅れ）が発生しています。ストリームのパフォーマンスを向上させるための最も適切な対応はどれですか？","Kinesis Data Streamsのデータ保持期間を延長する。","Kinesis Data Streamsのシャード(Shard)数を増やす（リスハードする）。","ストリームのコンシューマーをAWS LambdaからEC2に変更する。","Amazon SQSをストリームの前に配置してバッファリングする。",,"2","Kinesis Data Streamsの処理能力（スループット）の基本単位は「シャード」です。データ量が増加して処理が追いつかない場合は、シャードを分割（スプリット）して並列処理能力を高める必要があります。",3
"ユーザーはUDPベースのリアルタイムオンラインゲームをプレイしています。クライアントとAWS上のゲームサーバー間のネットワークパケットの損失を減らし、安定した低レイテンシーの接続をグローバルに提供したいと考えています。UDPトラフィックをサポートする最適なAWSサービスはどれですか？","Amazon CloudFront","AWS Global Accelerator","Application Load Balancer (ALB)","Amazon Route 53 レイテンシーベースルーティング",,"2","AWS Global Acceleratorは、TCPおよびUDPトラフィックに対して静的なエニーキャストIPを提供し、AWSのグローバルネットワークバックボーンを利用してパケットロスを減らし、パフォーマンスを最適化します。（CloudFrontやALBはUDPをサポートしていません）",3
"オンプレミスのWindowsサーバーで実行されているファイル共有（SMBプロトコル）をAWSに移行しようとしています。Active Directory(AD)のアクセス権限(ACL)を維持したまま、フルマネージドのWindowsファイルシステムとして利用できるAWSサービスはどれですか？","Amazon EFS","Amazon S3","Amazon FSx for Windows File Server","AWS Storage Gateway",,"3","Amazon FSx for Windows File Serverは、ネイティブなWindows互換ファイルシステムであり、SMBプロトコル、Windows NTFS ACL、Active Directory統合を完全にサポートしています。",3
"企業はペタバイト級のデータウェアハウスをAWS上に構築し、標準のSQLツール（BIツールなど）を使用して複雑な分析を数秒で実行したいと考えています。列指向のストレージを利用し、大規模な並列処理(MPP)を実行するデータウェアハウスサービスはどれですか？","Amazon RDS for PostgreSQL","Amazon Redshift","Amazon DynamoDB","Amazon Aurora",,"2","Amazon Redshiftは、大規模なデータセットに対する複雑な分析クエリ向けに最適化された、高速なフルマネージド型ペタバイト規模の列指向データウェアハウスサービスです。",3
"EC2インスタンス上で動作する機械学習アプリケーションが、Amazon S3からテラバイト単位のトレーニングデータを非常に高いスループット（数十GB/秒）で並列に読み込む必要があります。POSIX準拠のファイルシステムインターフェイスを提供し、S3とシームレスに連携できる高性能ファイルシステムはどれですか？","Amazon Elastic File System (EFS)","Amazon FSx for Lustre","Amazon EBS プロビジョンドIOPS SSD (io2)","AWS Storage Gateway",,"2","Amazon FSx for Lustreは、機械学習やHPC向けに設計された超高性能ファイルシステムであり、Amazon S3とネイティブに統合してS3オブジェクトをファイルとして直接読み書きできます。",3
"あるアプリケーションは、画像のアップロードを受け付けると同時に、サイズの異なるサムネイル画像を3つ非同期で生成する必要があります。処理のレイテンシーを最小化し、サーバーのプロビジョニングを不要にするアーキテクチャはどれですか？","EC2インスタンス内でcronジョブを毎分実行して画像を変換する。","S3バケットのイベント通知を使用してAWS Lambda関数をトリガーし、サムネイルを生成して別のバケットに保存する。","AWS Elastic Beanstalkのワーカー環境を使用する。","アップロードされた画像をAmazon EFSに保存し、AWS Batchで処理する。",,"2","S3イベント通知とAWS Lambdaを組み合わせることで、画像がアップロードされた瞬間にサーバーレスで非同期処理（サムネイル生成）が並列実行され、高速かつ管理不要なアーキテクチャが実現します。",3
